COSITE,ROADWAY,FROM,TO,LAST_YEAR_RECORDED,FORECASTED_YEAR,FORECASTED_AADT,Congestion_Level,FORECAST_DATE,TEMPERATURE,WINDSPEED,CURRENT_FORECAST
570305,57501500,US-90/SR-10,NORMANDY RD,2023,2024,6930.77,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575135,57502000,US-98/SR-30,CALHOUN AVE,2023,2024,3200.22,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570007,57506000,GALLIVER CUTOFF RD,SR-4/HWY 4,2023,2024,1496.04,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575118,57507000,PALM BLVD,SR-285,2023,2024,10432.58,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571508,57507000,SR-85,PALM BLVD,2023,2024,11156.93,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571500,57507001,SR-85,KELLY WAY,2023,2024,7181.27,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571514,57507001,KELLY WAY,SR-85,2023,2024,9298.52,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571499,57507002,SR-285,ROCKY BAYOU DR,2023,2024,4113.13,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575026,57508000,AIRPORT,CR-30D/MAIN ST,2023,2024,21512.45,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575131,57508000,US-98/SR-30,AIRPORT,2023,2024,8191.97,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570010,57509000,WALTON CO LINE,CR-393/HWY 393,2023,2024,519.59,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570170,57510000,US-90/SR-10/HWY 90,SR-4/HWY 4,2023,2024,3620.72,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570310,57518000,US-98/SR-30,LEGENDARY MARINE DR,2023,2024,24883.16,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570295,57518000,MID BAY BR ADMIN,SR-20,2023,2024,5408.2,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575014,57540002,SR-20/JOHN SIMS PKWY,SR-285/N PARTIN DR,2023,2024,650.24,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571512,57540015,PALM BLVD,END OF PAVEMENT,2023,2024,2400.19,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575119,57540101,VALPARAISO BLVD,27TH ST,2023,2024,5097.83,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575120,57540101,27TH ST,SR-20,2023,2024,8893.52,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575117,57540101,SR-285,COLLEGE BLVD,2023,2024,3599.67,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575121,57540101,SR-20,SR-285,2023,2024,8340.17,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570214,57550000,SR-85,,2023,2024,100.0,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570282,57550500,ALABAMA STATE LINE,CHURCH DRIVEWAY,2023,2024,750.39,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570217,57570000,US-90/SR-10/HWY 90,CR-2/HWY 2,2023,2024,2954.36,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570200,57570000,CR-2/HWY 2,SR-85/HWY 85,2023,2024,598.74,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570300,57590000,WHIPPOORWILL DR,,2023,2024,1412.62,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570275,57590000,,US-90/SR-10/HWY 90,2023,2024,5574.33,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575151,57600000,MAIN ST,INDIAN TR,2023,2024,5802.44,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575150,57600000,FIRST ST,MAIN ST,2023,2024,7962.47,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575133,57600001,US98/SR30/US HWY 98,KELLY ST,2023,2024,7287.84,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575096,57610001,SR-189/BEAL PKWY,SR-85/EGLIN PKWY,2023,2024,12390.46,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571711,57610001,SR-85/EGLIN PKWY,FERRY RD NE,2023,2024,2401.39,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575093,57610009,SR-189/BEAL PKWY,LAFITTE CRESCENT,2023,2024,1499.43,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575078,57610011,US-98/SR-30,SR-393,2023,2024,4394.41,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575125,57610013,MAYFLOWER AVE,SR-188/RACETRACK RD,2023,2024,3306.57,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575124,57610013,SR-189/BEAL PKWY,MAYFLOWER AVE,2023,2024,8292.52,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575140,57610014,MLK BLVD,SR-189/BEAL PKWY,2023,2024,11530.85,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575109,57610100,MEIGS DR,SR-85/EGLIN PKWY,2023,2024,1512.61,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575086,57610103,SR-188/RACETRACK RD,GARNIERS POST RD,2023,2024,6189.71,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575122,57610103,GARNIERS POST RD,SR-189,2023,2024,4272.48,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575153,57610500,LANG RD,MAYFLOWER AVE,2023,2024,2215.73,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575099,57610501,HILL AVE NW,POPLAR AVE,2023,2024,6262.63,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575100,57610501,POPLAR AVE,SR-393,2023,2024,6766.65,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570280,57620000,ADDISON PLACE,US-90/SR-10/HWY 90,2023,2024,11092.15,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570278,57620000,US-90/SR-10/HWY 90,BUCK WARD RD,2023,2024,1587.51,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570284,57620500,ADDISON PLACE APT,SR-85/S FERDON BLVD,2023,2024,5031.04,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570283,57620501,ANTIOCH RD,SR-85,2023,2024,18288.97,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
