YEAR_,COSITE,ROADWAY,DESC_FRM,DESC_TO,AADT,COUNTY
2023,570315,57180000,57050102 SB ON,57050104 NB OFF,2800,Okaloosa
2022,570316,57000118,TRIUMPH RD,SR-293,13600,Okaloosa
2023,570316,57000118,TRIUMPH RD,SR-293,12400,Okaloosa
2019,570317,57000118,CR-30F/AIRPORT RD,SR-293,20000,Okaloosa
2020,570317,57000118,CR-30F/AIRPORT RD,SR-293,19500,Okaloosa
2021,570317,57000118,CR-30F/AIRPORT RD,SR-293,16500,Okaloosa
2022,570317,57000118,CR-30F/AIRPORT RD,INDIAN BAYOU TR,16000,Okaloosa
2023,570317,57000118,CR-30F/AIRPORT RD,INDIAN BAYOU TR,16500,Okaloosa
2019,570318,57002000,57002002 EB OFF,57002006 EB OFF,30616,Okaloosa
2020,570318,57002000,57002002 EB OFF,57002006 EB OFF,27287,Okaloosa
2021,570318,57002000,57002002 EB OFF,57002006 EB OFF,33015,Okaloosa
2022,570318,57002000,57002002 EB OFF,57002006 EB OFF,32807,Okaloosa
2023,570318,57002000,57002002 EB OFF,57002006 EB OFF,32484,Okaloosa
2019,570319,57150004,N END BRIDGE 570077,SR-85,10500,Okaloosa
2020,570319,57150004,N END BRIDGE 570077,SR-85,10500,Okaloosa
2021,570319,57150004,N END BRIDGE 570077,SR-85,10500,Okaloosa
2022,570319,57150004,N END BRIDGE 570076,SR-85,11000,Okaloosa
2023,570319,57150004,N END BRIDGE 570076,SR-85,10500,Okaloosa
2019,570320,57150005,SR-85 SB,N END BRIDGE 570177,11000,Okaloosa
2020,570320,57150005,SR-85 SB,N END BRIDGE 570177,11000,Okaloosa
2021,570320,57150005,SR-85 SB,N END BRIDGE 570177,11000,Okaloosa
2022,570320,57150005,SR-85 SB,N END BRIDGE 570177,11000,Okaloosa
2023,570320,57150005,SR-85 SB,N END BRIDGE 570177,11000,Okaloosa
2019,570356,57060000,BRADLEY RD,CR-602,3790,Okaloosa
2020,570356,57060000,BRADLEY RD,CR-602,3645,Okaloosa
2021,570356,57060000,BRADLEY RD,CR-602,3923,Okaloosa
2022,570356,57060000,BRADLEY RD,CR-602,3977,Okaloosa
2023,570356,57060000,BRADLEY RD,CR-602,4137,Okaloosa
2019,570385,57030000,BRACKIN WAYSIDE PARK,PARK ENT,42752,Okaloosa
2020,570385,57030000,BRACKIN WAYSIDE PARK,PARK ENT,38568,Okaloosa
2021,570385,57030000,BRACKIN WAYSIDE PARK,PARK ENT,42301,Okaloosa
2022,570385,57030000,PARK,COASTGUARD STATION,41733,Okaloosa
2023,570385,57030000,PARK,COASTGUARD STATION,40656,Okaloosa
2019,571499,57507002,SR-285,ROCKY BAYOU DR,4100,Okaloosa
2020,571499,57507002,SR-285,ROCKY BAYOU DR,3400,Okaloosa
2021,571499,57507002,SR-285,ROCKY BAYOU DR,4700,Okaloosa
2022,571499,57507002,SR-285,ROCKY BAYOU DR,4000,Okaloosa
2023,571499,57507002,SR-285,ROCKY BAYOU DR,4100,Okaloosa
2019,571500,57507001,SR-85,KELLY WAY,7500,Okaloosa
2020,571500,57507001,SR-85,KELLY WAY,6200,Okaloosa
2021,571500,57507001,SR-85,KELLY WAY,6800,Okaloosa
2022,571500,57507001,SR-85,KELLY WAY,6800,Okaloosa
2023,571500,57507001,SR-85,KELLY WAY,7100,Okaloosa
2019,571501,57000023,VALPARAISO BLVD,7TH ST,1350,Okaloosa
2020,571501,57000023,VALPARAISO BLVD,7TH ST,1350,Okaloosa
2021,571501,57000023,VALPARAISO BLVD,7TH ST,1350,Okaloosa
2022,571501,57000023,VALPARAISO BLVD,7TH ST,1250,Okaloosa
2023,571501,57000023,VALPARAISO BLVD,7TH ST,1050,Okaloosa
2019,571502,57040000,REDWOOD AVE,EDGEWATER DR,38500,Okaloosa
2020,571502,57040000,REDWOOD AVE,EDGEWATER DR,35500,Okaloosa
2021,571502,57040000,REDWOOD AVE,EDGEWATER DR,41500,Okaloosa
2022,571502,57040000,REDWOOD AVE,EDGEWATER DR,40500,Okaloosa
2023,571502,57040000,REDWOOD AVE,EDGEWATER DR,37500,Okaloosa
2019,571503,57050000,CR-190/COLLEGE BLVD,57160131 NB OFF,13600,Okaloosa
2020,571503,57050000,CR-190/COLLEGE BLVD,57160131 NB OFF,12900,Okaloosa
2021,571503,57050000,CR-190/COLLEGE BLVD,57160131 NB OFF,13500,Okaloosa
2022,571503,57050000,COLLEGE BLVD,57160131 NB OFF,13200,Okaloosa
2023,571503,57050000,COLLEGE BLVD,57160131 NB OFF,12600,Okaloosa
2019,571504,57040027,SR-85,NORDBERG AVE,4400,Okaloosa
2020,571504,57040027,SR-85,NORDBERG AVE,4200,Okaloosa
2021,571504,57040027,SR-85,NORDBERG AVE,4300,Okaloosa
2022,571504,57040027,SR-85,NORDBERG AVE,4100,Okaloosa
2023,571504,57040027,SR-85,NORDBERG AVE,4200,Okaloosa
2019,571505,57040027,CHICAGO AVE,SR-85,23500,Okaloosa
2020,571505,57040027,CHICAGO AVE,SR-85,23500,Okaloosa
2021,571505,57040027,CHICAGO AVE,SR-85,20500,Okaloosa
2022,571505,57040027,CHICAGO AVE,SHOPPING CTR,22000,Okaloosa
2023,571505,57040027,CHICAGO AVE,SHOPPING CTR,22000,Okaloosa
2019,571506,57090000,PALM BLVD,COLLEGE BLVD,8000,Okaloosa
2020,571506,57090000,PALM BLVD,COLLEGE BLVD,7900,Okaloosa
2021,571506,57090000,PALM BLVD,COLLEGE BLVD,8700,Okaloosa
2022,571506,57090000,PALM BLVD,COLLEGE BLVD,8900,Okaloosa
2023,571506,57090000,PALM BLVD,COLLEGE BLVD,8900,Okaloosa
2019,571507,57040000,FROM SR-190,SR-397,21500,Okaloosa
2020,571507,57040000,FROM SR-190,SR-397,19500,Okaloosa
2021,571507,57040000,FROM SR-190,SR-397,22500,Okaloosa
2022,571507,57040000,FROM SR-190,SR-397,23500,Okaloosa
2023,571507,57040000,FROM SR-190,SR-397,23500,Okaloosa
2019,571508,57507000,SR-85,PALM BLVD,10700,Okaloosa
2020,571508,57507000,SR-85,PALM BLVD,8700,Okaloosa
2021,571508,57507000,SR-85,PALM BLVD,9700,Okaloosa
2022,571508,57507000,SR-85,PALM BLVD,9800,Okaloosa
2023,571508,57507000,SR-85,PALM BLVD,10900,Okaloosa
2019,571510,57040000,SR-397,SR-85,47500,Okaloosa
2020,571510,57040000,SR-397,SR-85,40000,Okaloosa
2021,571510,57040000,SR-397,SR-85,45000,Okaloosa
2022,571510,57040000,SR-397,SR-85,47500,Okaloosa
2023,571510,57040000,SR-397,SR-85,43500,Okaloosa
2019,571511,57090000,SR-20/JOHN SIMS PKWY,BAYSHORE DR,2400,Okaloosa
2020,571511,57090000,SR-20/JOHN SIMS PKWY,BAYSHORE DR,2200,Okaloosa
2021,571511,57090000,SR-20/JOHN SIMS PKWY,BAYSHORE DR,2300,Okaloosa
2022,571511,57090000,SR-20/JOHN SIMS PKWY,BAYSHORE DR,2000,Okaloosa
2023,571511,57090000,SR-20/JOHN SIMS PKWY,BAYSHORE DR,2300,Okaloosa
2019,571512,57540015,PALM BLVD,END OF PAVEMENT,2700,Okaloosa
2020,571512,57540015,PALM BLVD,END OF PAVEMENT,2500,Okaloosa
2021,571512,57540015,PALM BLVD,END OF PAVEMENT,2700,Okaloosa
2022,571512,57540015,PALM BLVD,END OF PAVEMENT,2600,Okaloosa
2023,571512,57540015,PALM BLVD,END OF PAVEMENT,2400,Okaloosa
2019,571514,57507001,KELLY WAY,SR-85,8800,Okaloosa
2020,571514,57507001,KELLY WAY,SR-85,7700,Okaloosa
2021,571514,57507001,KELLY WAY,SR-85,7800,Okaloosa
2022,571514,57507001,KELLY WAY,SR-85,7900,Okaloosa
2023,571514,57507001,KELLY WAY,SR-85,9100,Okaloosa
2019,571518,57160000,57160113 NB OFF,57160117 NB OFF,19300,Okaloosa
2020,571518,57160000,57160113 NB OFF,57160117 NB OFF,18200,Okaloosa
2021,571518,57160000,57160113 NB OFF,57160117 NB OFF,23500,Okaloosa
2022,571518,57160000,57160113 NB OFF,57160117 NB OFF,18100,Okaloosa
2023,571518,57160000,57160113 NB OFF,57160117 NB OFF,19200,Okaloosa
2019,571519,57160000,57160117 NB OFF,57160123 NB OFF,9500,Okaloosa
2020,571519,57160000,57160117 NB OFF,57160123 NB OFF,8400,Okaloosa
2021,571519,57160000,57160117 NB OFF,57160123 NB OFF,12500,Okaloosa
2022,571519,57160000,57160117 NB OFF,57160123 NB OFF,9000,Okaloosa
2023,571519,57160000,57160117 NB OFF,57160123 NB OFF,9400,Okaloosa
2019,571520,57040000,WHITE POINT RD,57160118 SB ON,23000,Okaloosa
2020,571520,57040000,WHITE POINT RD,57160118 SB ON,21000,Okaloosa
2021,571520,57040000,WHITE POINT RD,57160118 SB ON,24000,Okaloosa
2022,571520,57040000,CR-293/WHITE POINT R,57160118 SB ON,25000,Okaloosa
2023,571520,57040000,CR-293/WHITE POINT R,57160118 SB ON,25000,Okaloosa
2019,571521,57160000,57160123 NB OFF,57160128 SB ON,10600,Okaloosa
2020,571521,57160000,57160123 NB OFF,57160128 SB ON,8800,Okaloosa
2021,571521,57160000,57160123 NB OFF,57160128 SB ON,12100,Okaloosa
2022,571521,57160000,57160123 NB OFF,57160128 SB ON,11100,Okaloosa
2023,571521,57160000,57160123 NB OFF,57160128 SB ON,12900,Okaloosa
2019,571522,57160000,57160128 SB ON,GORE 57160129/130,8900,Okaloosa
2020,571522,57160000,57160128 SB ON,GORE 57160129/130,7600,Okaloosa
2021,571522,57160000,57160128 SB ON,GORE 57160129/130,10500,Okaloosa
2022,571522,57160000,57160128 SB ON,GORE 57160129/130,10500,Okaloosa
2023,571522,57160000,57160128 SB ON,GORE 57160129/130,11000,Okaloosa
2019,571601,57010000,BRACKIN ST,FAIRCHILD RD,11900,Okaloosa
2020,571601,57010000,BRACKIN ST,FAIRCHILD RD,11600,Okaloosa
2021,571601,57010000,BRACKIN ST,FAIRCHILD RD,11900,Okaloosa
2022,571601,57010000,BRACKIN ST,FAIRCHILD RD,12500,Okaloosa
2023,571601,57010000,BRACKIN ST,FAIRCHILD RD,13000,Okaloosa
2019,571602,57010000,ENZOR RD,LINDBERG ST,19100,Okaloosa
2020,571602,57010000,ENZOR RD,LINDBERG ST,18400,Okaloosa
2021,571602,57010000,ENZOR RD,LINDBERG ST,20400,Okaloosa
2022,571602,57010000,ENZOR RD,LINDBERG ST,19800,Okaloosa
2023,571602,57010000,ENZOR RD,LINDBERG ST,20500,Okaloosa
2019,571603,57060000,JONES RD,CR-188/AIRPORT RD,25500,Okaloosa
2020,571603,57060000,JONES RD,CR-188/AIRPORT RD,24500,Okaloosa
2021,571603,57060000,JONES RD,CR-188/AIRPORT RD,25500,Okaloosa
2022,571603,57060000,JONES RD,CR-188/AIRPORT RD,27000,Okaloosa
2023,571603,57060000,JONES RD,CR-188/AIRPORT RD,28500,Okaloosa
2019,571605,57500000,S MAIN ST,US-90/SR-10/HWY 90,450,Okaloosa
2020,571605,57500000,S MAIN ST,US-90/SR-10/HWY 90,450,Okaloosa
2021,571605,57500000,S MAIN ST,US-90/SR-10/HWY 90,450,Okaloosa
2022,571605,57500000,S MAIN ST,US-90/SR-10/HWY 90,500,Okaloosa
2023,571605,57500000,S MAIN ST,US-90/SR-10/HWY 90,500,Okaloosa
2019,571606,57050000,W REDSTONE AVE,E CANE AVE,46000,Okaloosa
2020,571606,57050000,W REDSTONE AVE,E CANE AVE,44000,Okaloosa
2021,571606,57050000,W REDSTONE AVE,E CANE AVE,44000,Okaloosa
2022,571606,57050000,W REDSTONE AVE,E CANE AVE,45500,Okaloosa
2023,571606,57050000,W REDSTONE AVE,E CANE AVE,47000,Okaloosa
2019,571607,57050000,JOHN KING RD,TO I-10 EB,47500,Okaloosa
2020,571607,57050000,JOHN KING RD,TO I-10 EB,47000,Okaloosa
2021,571607,57050000,JOHN KING RD,TO I-10 EB,52000,Okaloosa
2022,571607,57050000,JOHN KING RD,TO I-10 EB,51500,Okaloosa
2023,571607,57050000,JOHN KING RD,TO I-10 EB,50500,Okaloosa
2019,571608,57050000,WAL MART RD,W REDSTONE AVE,44000,Okaloosa
2020,571608,57050000,WAL MART RD,W REDSTONE AVE,41500,Okaloosa
2021,571608,57050000,WAL MART RD,W REDSTONE AVE,44000,Okaloosa
2022,571608,57050000,WAL MART RD,W REDSTONE AVE,45000,Okaloosa
2023,571608,57050000,WAL MART RD,W REDSTONE AVE,44000,Okaloosa
2019,571609,57050000,TO I-10 EB,WAL MART RD,45500,Okaloosa
2020,571609,57050000,TO I-10 EB,WAL MART RD,46500,Okaloosa
2021,571609,57050000,TO I-10 EB,WAL MART RD,47000,Okaloosa
2022,571609,57050000,TO I-10 EB,WAL MART RD,47500,Okaloosa
2023,571609,57050000,TO I-10 EB,WAL MART RD,49000,Okaloosa
2019,571610,57050000,PJ ADAMS PKWY,JOHN KING RD,41500,Okaloosa
2020,571610,57050000,PJ ADAMS PKWY,JOHN KING RD,39500,Okaloosa
2021,571610,57050000,PJ ADAMS PKWY,JOHN KING RD,40000,Okaloosa
2022,571610,57050000,PJ ADAMS PKWY,JOHN KING RD,41000,Okaloosa
2023,571610,57050000,PJ ADAMS PKWY,JOHN KING RD,42000,Okaloosa
2019,571701,57110000,MEMORIAL PKWY NW,OAK ST,31500,Okaloosa
2020,571701,57110000,MEMORIAL PKWY NW,OAK ST,27000,Okaloosa
2021,571701,57110000,MEMORIAL PKWY NW,OAK ST,31000,Okaloosa
2022,571701,57110000,MEMORIAL PKWY NW,OAK ST,31000,Okaloosa
2023,571701,57110000,MEMORIAL PKWY NW,OAK ST,30000,Okaloosa
2019,571702,57030000,SR393MARY ESTHER BLV,MEMORIAL PKWY SW,30500,Okaloosa
2020,571702,57030000,SR393MARY ESTHER BLV,MEMORIAL PKWY SW,29500,Okaloosa
2021,571702,57030000,SR393MARY ESTHER BLV,MEMORIAL PKWY SW,29000,Okaloosa
2022,571702,57030000,SR393MARY ESTHER BLV,MEMORIAL PKWY SW,28000,Okaloosa
2023,571702,57030000,SR393MARY ESTHER BLV,MEMORIAL PKWY SW,28000,Okaloosa
2019,571704,57040000,WALTER MARTIN RD,YACHT CLUB DR,45000,Okaloosa
2020,571704,57040000,WALTER MARTIN RD,YACHT CLUB DR,40000,Okaloosa
2021,571704,57040000,WALTER MARTIN RD,YACHT CLUB DR,39500,Okaloosa
2022,571704,57040000,SHOPPING CTR,YACHT CLUB DR,42000,Okaloosa
2023,571704,57040000,SHOPPING CTR,YACHT CLUB DR,41000,Okaloosa
2019,571705,57030000,Bridge No-570182,DOOLITTLE BLVD,44000,Okaloosa
2020,571705,57030000,Bridge No-570182,DOOLITTLE BLVD,43000,Okaloosa
2021,571705,57030000,Bridge No-570182,DOOLITTLE BLVD,45000,Okaloosa
2022,571705,57030000,Bridge No-570182,BUSINESS ENT/EXIT,45500,Okaloosa
2023,571705,57030000,Bridge No-570182,BUSINESS ENT/EXIT,43500,Okaloosa
2019,571706,57130000,MOONEY RD,GEN BOND BLVD,36000,Okaloosa
2020,571706,57130000,MOONEY RD,GEN BOND BLVD,30000,Okaloosa
2021,571706,57130000,MOONEY RD,GEN BOND BLVD,34500,Okaloosa
2022,571706,57130000,MOONEY RD,GEN BOND BLVD,35500,Okaloosa
2023,571706,57130000,MOONEY RD,GEN BOND BLVD,35000,Okaloosa
2019,571707,57040000,4TH AVE,12TH AVE,49000,Okaloosa
2020,571707,57040000,4TH AVE,12TH AVE,48000,Okaloosa
2021,571707,57040000,4TH AVE,12TH AVE,46000,Okaloosa
2022,571707,57040000,4TH AVE,12TH AVE,46500,Okaloosa
2023,571707,57040000,4TH AVE,12TH AVE,45000,Okaloosa
2019,571708,57110028,HOLLYWOOD BLVD,SHOPPING CENTER,25000,Okaloosa
2019,571708,57110028,SHOPPING CENTER,WRIGHT PKWY NW,25000,Okaloosa
2020,571708,57110028,HOLLYWOOD BLVD,SHOPPING CENTER,24000,Okaloosa
2020,571708,57110028,SHOPPING CENTER,WRIGHT PKWY NW,24000,Okaloosa
2021,571708,57110028,HOLLYWOOD BLVD,SHOPPING CENTER,25500,Okaloosa
2021,571708,57110028,SHOPPING CENTER,WRIGHT PKWY NW,25500,Okaloosa
2022,571708,57110028,HOLLYWOOD BLVD,BUSINESS,26000,Okaloosa
2022,571708,57110028,BUSINESS,WRIGHT PKWY NW,26000,Okaloosa
2023,571708,57110028,HOLLYWOOD BLVD,BUSINESS,24500,Okaloosa
2023,571708,57110028,BUSINESS,WRIGHT PKWY NW,24500,Okaloosa
2019,571709,57040000,YACHT CLUB DR,MONAHAN DR,50000,Okaloosa
2020,571709,57040000,YACHT CLUB DR,MONAHAN DR,49000,Okaloosa
2021,571709,57040000,YACHT CLUB DR,MONAHAN DR,50000,Okaloosa
2022,571709,57040000,YACHT CLUB DR,MONAHAN DR,52000,Okaloosa
2023,571709,57040000,YACHT CLUB DR,MONAHAN DR,49500,Okaloosa
2019,571710,57040000,12TH AVE,SR-397,38000,Okaloosa
2020,571710,57040000,12TH AVE,SR-397,31500,Okaloosa
2021,571710,57040000,12TH AVE,SR-397,32000,Okaloosa
2022,571710,57040000,12TH AVE,SR-397,33500,Okaloosa
2023,571710,57040000,12TH AVE,SR-397,33500,Okaloosa
2019,571711,57610001,SR-85/EGLIN PKWY,FERRY RD NE,3000,Okaloosa
2020,571711,57610001,SR-85/EGLIN PKWY,FERRY RD NE,2300,Okaloosa
2021,571711,57610001,SR-85/EGLIN PKWY,FERRY RD NE,2400,Okaloosa
2022,571711,57610001,SR-85/EGLIN PKWY,FERRY RD NE,2400,Okaloosa
2023,571711,57610001,SR-85/EGLIN PKWY,FERRY RD NE,2400,Okaloosa
2019,572004,57002000,57002006 EB OFF,WALTON CO LINE,22000,Okaloosa
2020,572004,57002000,57002006 EB OFF,WALTON CO LINE,21000,Okaloosa
2021,572004,57002000,57002006 EB OFF,WALTON CO LINE,22000,Okaloosa
2022,572004,57002000,57002006 EB OFF,WALTON CO LINE,25500,Okaloosa
2023,572004,57002000,57002006 EB OFF,WALTON CO LINE,26500,Okaloosa
2019,572601,57002001,CR-189,I-10/SR-8,1600,Okaloosa
2020,572601,57002001,CR-189,I-10/SR-8,1500,Okaloosa
2021,572601,57002001,CR-189,I-10/SR-8,1800,Okaloosa
2022,572601,57002001,CR-189,I-10/SR-8,1700,Okaloosa
2023,572601,57002001,CR-189,I-10/SR-8,2000,Okaloosa
2019,572602,57002002,I-10/SR-8,CR-189,1700,Okaloosa
2020,572602,57002002,I-10/SR-8,CR-189,1500,Okaloosa
2021,572602,57002002,I-10/SR-8,CR-189,1800,Okaloosa
2022,572602,57002002,I-10/SR-8,CR-189,1700,Okaloosa
2023,572602,57002002,I-10/SR-8,CR-189,1900,Okaloosa
2019,572603,57002003,I-10/SR-8,CR-189,800,Okaloosa
2020,572603,57002003,I-10/SR-8,CR-189,800,Okaloosa
2021,572603,57002003,I-10/SR-8,CR-189,850,Okaloosa
2022,572603,57002003,I-10/SR-8,CR-189,850,Okaloosa
2023,572603,57002003,I-10/SR-8,CR-189,900,Okaloosa
2019,572604,57002004,CR-189,I-10/SR-8,800,Okaloosa
2020,572604,57002004,CR-189,I-10/SR-8,800,Okaloosa
2021,572604,57002004,CR-189,I-10/SR-8,950,Okaloosa
2022,572604,57002004,CR-189,I-10/SR-8,950,Okaloosa
2023,572604,57002004,CR-189,I-10/SR-8,1000,Okaloosa
2019,572605,57002005,SR-85,I-10/SR-8,5700,Okaloosa
2020,572605,57002005,SR-85,I-10/SR-8,5500,Okaloosa
2021,572605,57002005,SR-85,I-10/SR-8,6200,Okaloosa
2022,572605,57002005,SR-85,I-10/SR-8,5600,Okaloosa
2023,572605,57002005,SR-85,I-10/SR-8,6300,Okaloosa
2019,572606,57002006,I-10/SR-8,SR-85/S FERDON BLVD,6300,Okaloosa
2020,572606,57002006,I-10/SR-8,SR-85/S FERDON BLVD,6300,Okaloosa
2021,572606,57002006,I-10/SR-8,SR-85/S FERDON BLVD,7200,Okaloosa
2022,572606,57002006,I-10/SR-8,SR-85/S FERDON BLVD,6400,Okaloosa
2023,572606,57002006,I-10/SR-8,SR-85/S FERDON BLVD,7000,Okaloosa
2019,572607,57002007,I-10/SR-8,SR-85/ S FERDON BLVD,2500,Okaloosa
2020,572607,57002007,I-10/SR-8,SR-85/ S FERDON BLVD,2300,Okaloosa
2021,572607,57002007,I-10/SR-8,SR-85/ S FERDON BLVD,2800,Okaloosa
2022,572607,57002007,I-10/SR-8,SR-85/ S FERDON BLVD,2700,Okaloosa
2023,572607,57002007,I-10/SR-8,SR-85/ S FERDON BLVD,3100,Okaloosa
2019,572608,57002008,SR-85,I-10/SR-8,2800,Okaloosa
2020,572608,57002008,SR-85,I-10/SR-8,2600,Okaloosa
2021,572608,57002008,SR-85,I-10/SR-8,3200,Okaloosa
2022,572608,57002008,SR-85,I-10/SR-8,2800,Okaloosa
2023,572608,57002008,SR-85,I-10/SR-8,2600,Okaloosa
2019,575002,57500013,BRESSLER ST,SR-85/S FERDON BLVD,1300,Okaloosa
2020,575002,57500013,BRESSLER ST,SR-85/S FERDON BLVD,1300,Okaloosa
2021,575002,57500013,BRESSLER ST,SR-85/S FERDON BLVD,1400,Okaloosa
2022,575002,57500013,BRESSLER ST,SR-85/S FERDON BLVD,1300,Okaloosa
2023,575002,57500013,BRESSLER ST,SR-85/S FERDON BLVD,1300,Okaloosa
2019,575003,57090000,BAYSHORE DR,SR-20/JOHN SIMS PKWY,2300,Okaloosa
2020,575003,57090000,BAYSHORE DR,SR-20/JOHN SIMS PKWY,1900,Okaloosa
2021,575003,57090000,BAYSHORE DR,SR-20/JOHN SIMS PKWY,2600,Okaloosa
2022,575003,57090000,BAYSHORE DR,SR-20/JOHN SIMS PKWY,2100,Okaloosa
2023,575003,57090000,BAYSHORE DR,SR-20/JOHN SIMS PKWY,2300,Okaloosa
2019,575004,57500016,S LLOYD ST,MCDONALD ST,1700,Okaloosa
2020,575004,57500016,S LLOYD ST,MCDONALD ST,1800,Okaloosa
2021,575004,57500016,S LLOYD ST,MCDONALD ST,1600,Okaloosa
2022,575004,57500016,S LLOYD ST,MCDONALD ST,1600,Okaloosa
2023,575004,57500016,S LLOYD ST,MCDONALD ST,1600,Okaloosa
2019,575005,57020000,21ST ST,PARTIN DR,4300,Okaloosa
2020,575005,57020000,21ST ST,PARTIN DR,4000,Okaloosa
2021,575005,57020000,21ST ST,PARTIN DR,4200,Okaloosa
2022,575005,57020000,21ST ST,CR-285/PARTIN DR,4200,Okaloosa
2023,575005,57020000,21ST ST,CR-285/PARTIN DR,4300,Okaloosa
2019,575007,57000008,SR-85/N FERDON BLVD,WOODLAWN DR,250,Okaloosa
2020,575007,57000008,SR-85/N FERDON BLVD,WOODLAWN DR,250,Okaloosa
2021,575007,57000008,SR-85/N FERDON BLVD,WOODLAWN DR,300,Okaloosa
2022,575007,57000008,SR-85/N FERDON BLVD,WOODLAWN DR,300,Okaloosa
2023,575007,57000008,SR-85/N FERDON BLVD,WOODLAWN DR,300,Okaloosa
2019,575009,57040000,SR-85,DAVIS DR,44000,Okaloosa
2020,575009,57040000,SR-85,DAVIS DR,39000,Okaloosa
2021,575009,57040000,SR-85,DAVIS DR,45000,Okaloosa
2022,575009,57040000,SR-85,DAVIS DR,45000,Okaloosa
2023,575009,57040000,SR-85,DAVIS DR,42500,Okaloosa
2019,575010,57040000,DAVIS DR,CR-285,43000,Okaloosa
2020,575010,57040000,DAVIS DR,CR-285,37500,Okaloosa
2021,575010,57040000,DAVIS DR,CR-285,44000,Okaloosa
2022,575010,57040000,DAVIS DR,CR-285,44500,Okaloosa
2023,575010,57040000,DAVIS DR,CR-285,41000,Okaloosa
2019,575014,57540002,SR-20/JOHN SIMS PKWY,SR-285/N PARTIN DR,850,Okaloosa
2020,575014,57540002,SR-20/JOHN SIMS PKWY,SR-285/N PARTIN DR,650,Okaloosa
2021,575014,57540002,SR-20/JOHN SIMS PKWY,SR-285/N PARTIN DR,800,Okaloosa
2022,575014,57540002,SR-20/JOHN SIMS PKWY,SR-285/N PARTIN DR,700,Okaloosa
2023,575014,57540002,SR-20/JOHN SIMS PKWY,SR-285/N PARTIN DR,650,Okaloosa
2019,575016,57050000,SR-20,CR-190/COLLEGE BLVD,14600,Okaloosa
2020,575016,57050000,SR-20,CR-190/COLLEGE BLVD,13400,Okaloosa
2021,575016,57050000,SR-20,CR-190/COLLEGE BLVD,12800,Okaloosa
2022,575016,57050000,SR-20,COLLEGE BLVD,14600,Okaloosa
2023,575016,57050000,SR-20,COLLEGE BLVD,14000,Okaloosa
2019,575022,57040027,NORDBERG AVE,,3600,Okaloosa
2019,575022,57040028,FROM VALPARAISO PKWY,SR-397,3600,Okaloosa
2020,575022,57040027,NORDBERG AVE,,3100,Okaloosa
2020,575022,57040028,FROM VALPARAISO PKWY,SR-397,3100,Okaloosa
2021,575022,57040028,FROM VALPARAISO PKWY,SR-397,3100,Okaloosa
2021,575022,57040027,NORDBERG AVE,,3100,Okaloosa
2022,575022,57040027,NORDBERG AVE,,3100,Okaloosa
2022,575022,57040028,FROM VALPARAISO PKWY,SR-397,3100,Okaloosa
2023,575022,57040028,FROM VALPARAISO PKWY,SR-397,3400,Okaloosa
2023,575022,57040027,NORDBERG AVE,,3400,Okaloosa
2019,575023,57040025,N BAYSHORE DR,SR-190,22000,Okaloosa
2019,575023,57040028,SR-397,CHICAGO AVE,22000,Okaloosa
2020,575023,57040028,SR-397,CHICAGO AVE,22000,Okaloosa
2020,575023,57040025,N BAYSHORE DR,SR-190,22000,Okaloosa
2021,575023,57040028,SR-397,CHICAGO AVE,20500,Okaloosa
2021,575023,57040025,N BAYSHORE DR,SR-190,20500,Okaloosa
2022,575023,57040028,SR-397,CHICAGO AVE,19800,Okaloosa
2022,575023,57040025,N BAYSHORE DR,SR-190,19800,Okaloosa
2023,575023,57040025,N BAYSHORE DR,SR-190,19700,Okaloosa
2023,575023,57040028,SR-397,CHICAGO AVE,19700,Okaloosa
2019,575024,57040025,EGLIN AFB E GATE,N BAYSHORE DR,18400,Okaloosa
2020,575024,57040025,EGLIN AFB E GATE,N BAYSHORE DR,18200,Okaloosa
2021,575024,57040025,EGLIN AFB E GATE,N BAYSHORE DR,16800,Okaloosa
2022,575024,57040025,EGLIN AFB E GATE,N BAYSHORE DR,15300,Okaloosa
2023,575024,57040025,EGLIN AFB E GATE,N BAYSHORE DR,16600,Okaloosa
2019,575026,57508000,DESTIN AIRPORT,MAIN ST,23000,Okaloosa
2020,575026,57508000,DESTIN AIRPORT,MAIN ST,19900,Okaloosa
2021,575026,57508000,DESTIN AIRPORT,MAIN ST,18500,Okaloosa
2022,575026,57508000,AIRPORT,CR-30D/MAIN ST,23500,Okaloosa
2023,575026,57508000,AIRPORT,CR-30D/MAIN ST,21500,Okaloosa
2019,575027,57000113,BENNING DR,MAIN ST,12200,Okaloosa
2020,575027,57000113,BENNING DR,MAIN ST,12000,Okaloosa
2021,575027,57000113,BENNING DR,MAIN ST,11100,Okaloosa
2022,575027,57000113,CR-30B/BENNING DR,CR-30D/MAIN ST,12100,Okaloosa
2023,575027,57000113,CR-30B/BENNING DR,CR-30D/MAIN ST,12700,Okaloosa
2019,575034,57110000,YACHT CLUB DR,MEMORIAL PKWY NW,28000,Okaloosa
2020,575034,57110000,YACHT CLUB DR,MEMORIAL PKWY NW,25500,Okaloosa
2021,575034,57110000,YACHT CLUB DR,MEMORIAL PKWY NW,26500,Okaloosa
2022,575034,57110000,YACHT CLUB DR,MEMORIAL PKWY NW,25500,Okaloosa
2023,575034,57110000,YACHT CLUB DR,MEMORIAL PKWY NW,26500,Okaloosa
